Wijken;overgewicht (inclusief obesitas), 18+ jaar|2012;overgewicht (inclusief obesitas), 18+ jaar|2014;overgewicht (inclusief obesitas), 18+ jaar|2016;overgewicht (inclusief obesitas), 18+ jaar|2018;overgewicht (inclusief obesitas), 18+ jaar|2020
West;37;33;29;30;31
Noordwest;40;38;37;32;39
Overvecht;48;49;49;51;50
Noordoost;31;32;35;30;27
Oost;24;24;19;24;24
Binnenstad;25;23;22;32;25
Zuid;38;38;32;34;38
Zuidwest;40;38;46;35;39
Leidsche Rijn;42;41;40;39;42
Vleuten-De Meern;53;48;47;45;52
